,mean_pitch,jitter,shimmer,energy,zcr_mean,spectral_centroid_mean,tempo,hnr,num_words,num_pauses,silence_duration,gender_female,gender_male,ethnicity_Other,ethnicity_arabic,ethnicity_english,ethnicity_igbo,0
0,1056.9174,0.0220817325055027,0.1710764246757973,0.0031358134584532,0.0329631073771109,1549.6070500600424,80.74951172,-116.66233765744694,69,2,38.19850340136055,False,True,True,False,False,False,
1,1231.8457,0.0265708000746378,0.1325853935543565,0.0067832980414301,0.1238946052751457,2344.817369187901,89.10290948,-78.25382429532267,69,27,29.605442176870746,False,True,True,False,False,False,
2,958.29065,0.0180435860602581,0.0962894382497858,0.0044783296168206,0.0891488882211538,1939.5748962818748,123.046875,-71.63074211960677,6,2,2.275555555555556,False,True,False,False,False,True,
3,1396.5417,0.0272900771655568,0.0889012450057843,0.0148927387971445,0.0970539411374451,1832.059112513784,123.046875,-101.53301292023268,69,31,22.15183673469388,True,False,True,False,False,False,
4,1633.8677,0.0216210987189453,0.1038554564664848,0.0013692209986504,0.1409501774569268,2534.6111683881727,112.34714674,-134.91406976567893,69,35,22.430476190476192,False,True,True,False,False,False,
5,1043.3937,0.0257779461606412,0.1088057388002498,0.0009765670938729,0.0559910765481651,1740.7018552512943,135.99917763,-85.45554636535665,2,1,2.523174603174603,True,False,True,False,False,False,
6,1685.1119,0.0213560288883015,0.0894084068437476,0.0050746167726343,0.1507531888455623,2503.981083328545,151.99908088,-111.679084056145,69,28,19.458321995464846,True,False,True,False,False,False,
7,1383.9468,0.0152068041454336,0.0735485934567048,0.0082747630111045,0.0721558988764045,2112.056001712507,123.046875,-46.0849376354986,6,2,1.9708390022675737,True,False,False,False,False,True,
8,1465.3152,0.020371015867976,0.0890011473761586,0.0073721896690449,0.1582276965725806,2497.038193834084,143.5546875,-114.97704920651684,69,46,23.916553287981856,False,True,True,False,False,False,
9,692.27057,0.0179422214875933,0.1284668636181762,0.0009377938125513,0.0642274100825471,2225.098897075537,135.99917763,-25.985415379519026,0,1,2.439002267573696,False,True,False,False,False,True,
10,1409.3546,0.0316410466583924,0.1407444086966086,0.0027257410173075,0.1438005324225567,2542.52340181629,107.66601562,-104.81660516588124,69,18,23.04335600907029,False,True,True,False,False,False,
11,700.4155,0.0237521353096452,0.0980875673804718,0.0010317147034154,0.0677959735576923,2249.208775849474,99.38401442,-1.640450485463445,4,1,1.4885714285714289,True,False,False,False,False,True,
12,1858.1233,0.0217613564974901,0.1355426773605169,0.0035405590955006,0.2092589373363874,2951.1292477892225,107.66601562,-97.88135085213096,69,12,18.134784580498867,False,True,True,False,False,False,
13,1697.6172,0.0240865668986067,0.0904330678481736,0.0015145296891615,0.0858309659090909,2323.8367827615475,198.76802885,-63.03355024217101,3,1,1.2727891156462583,True,False,False,False,False,True,
14,1446.9703,0.0221805661919385,0.0912846429250991,0.0012180840569343,0.1168807507208276,2491.3323844952124,135.99917763,-118.05219078528393,69,34,25.565170068027207,True,False,True,False,False,False,
15,1877.064,0.0258167156031193,0.1199549087766253,0.0016992904567869,0.1679581246909001,2703.5058786152863,129.19921875,-113.60621419841227,69,17,19.644081632653062,False,True,True,False,False,False,
